name,mother_name,birth_date,cpf,cns,zip_code,street,number,neighborhood,city,state,complement
denis sabiao,,12/01/1999,"177409621","970892309230007","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Icaro Castilho Guerini Alfradique,,12/01/1999,"52455402231","756767334760003","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Marco Knupp da Cunha Garbelini,,12/01/1999,"12887356500","250299359950006","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Agenor Carminatti Vaz Celestino,,12/01/1999,"35121122420","124604279640007","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Icaro Germano Vabo Carvalheiro,,12/01/1999,"35876929557","120531885920004","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Higor Valle Furtado dos Anjos,,12/01/1999,"48280477195","106891161430006","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Conceição Figueiredo Claudino Anastacio,,12/01/1999,"24742775104","289747685040008","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Theo Rubi Norte Regufe,,12/01/1999,"27613566161","870447871310001","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Geraldo Vasconcellos Nazare Vogas,,12/01/1999,"88333725457","941815761420004","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Bento Fausto Bravo Monteiro,,12/01/1999,"42241740810","144585638750006","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Carlos Guzzo Pontes Coelho,,12/01/1999,"13103868464","174484985250003","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
João Marcos Inácio Corrêa Lucas,,12/01/1999,"66346871889","732584081130009","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Benício Nigro Batista de Souza,,12/01/1999,"37012286393","281590307010001","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Humberto Fundão Pinto Serravalle,,12/01/1999,"73550961847","245582776600001","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Henry Mayerhofer Jales Bastos,,12/01/1999,"11817614339","102213362110003","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Josildo Matta Elias Tolentino,,12/01/1999,"72175036049","141621902530002","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Ozorio Matta Regufe Veiga,,12/01/1999,"90718226488","947068200530004","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Severino Farinha Nepomuceno Guzzo,,12/01/1999,"56823008156","288753170020005","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Marcos Barros Navega Ascar,,12/01/1999,"82928808876","218236154330018","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Firmino dos Anjos Cunha Salles,,12/01/1999,"43081587700","779546584920008","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Fábio Mateus Braga Germano,,12/01/1999,"17648536790","710835058330002","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Yago Schuenck Soares Barbosa,,12/01/1999,"51537830570","940843159820008","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Calebe Heizelmann Bastida Pedroso,,12/01/1999,"83881812890","286228393170018","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Henrique Azevedo Leonicio Leite,,12/01/1999,"66664778203","204370559790018","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Devanir Dutra Zambelli Ibanez,,12/01/1999,"94552836706","174752047690009","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
Diego Boelho Baptista Azevedo,,12/01/1999,"62524310795","711053435020008","31230000",Presidente Carlos Luz,110,Caicara,Belo Horizonte,MG,,
